SchoolName,address,latitude,longitude,postal_code
Red Swastika School,"350 Bedok North Avenue 3, S469719",1.32998302575378,103.92558945805,463547
River Valley Primary School,"2 River Valley Green, S237993",1.29644995684098,103.834439535286,238405
Riverside Primary School,"110 Woodlands Crescent, S737803",1.43759759979085,103.781575573323,730110
Rivervale Primary School,"80 Rivervale Drive, S545092",1.39250410994833,103.904483668323,545082
Rosyth School,"21 Serangoon North Avenue 4, S555855",1.37463845670095,103.873687116712,555857
Rulang Primary School,"6 Jurong West Street 52, S649295",1.34759459305051,103.718212070227,649297
Sembawang Primary School,"10 Sembawang Drive, S757715",1.4395500404105,103.824099275559,757765
Seng Kang Primary School,"21 Compassvale Walk, S545166",1.38529774486579,103.900028932986,540210
Sengkang Green Primary School,"15 Fernvale Road, S797636",1.39510598236661,103.878696725444,797536
Shuqun Primary School,"8 Jurong West Street 51, S649332",1.33868102526914,103.692767342476,648964
Si Ling Primary School,"61 Woodlands Avenue 1, S739067",1.42934183996438,103.774484770751,739068
Singapore Chinese Girls' Primary School,"190 Dunearn Road, S309437",1.32039411204892,103.829947767552,309434
South View Primary School,"6 Choa Chu Kang Central, S689762",1.38555516336432,103.745261508747,689688
Springdale Primary School,"71 Anchorvale Link, S544799",1.39434782021906,103.88585684721,542353
St. Andrew's Junior School,"2 Francis Thomas Drive, S359337",1.33009448066717,103.866554182579,359338
St. Anthony's Canossian Primary School,"1602 Bedok North Ave 4, S469701",1.33474211664091,103.91797832995,479481
St. Anthony's Primary School,"30 Bukit Batok St 32, S659401",1.34971948024642,103.750968656542,650631
St. Gabriel's Primary School,"220 Lorong Chuan, S556742",1.34261673404284,103.856454868244,310220
St. Hilda's Primary School,"2 Tampines Ave 3, S529706",1.36642522887312,103.925982053864,529806
St. Joseph's Institution Junior,"3 Essex Road, S309331",1.30424705523881,103.854160022317,209331
St. Margaret's School (Primary),"136 Sophia Road, S228197",1.30414407358332,103.845820266438,228197
St. Stephen's School,"20 Siglap View, S455789",1.31500866329149,103.92249442008,455879
Tampines North Primary School,"30 Tampines Avenue 9, S529565",1.35702402709338,103.944138231918,529621
Tampines Primary School,"250 Tampines Street 12, S529426",1.35231862292149,103.948457987374,520250
Tanjong Katong Primary School,"10 Seraya Road, S437259",1.3061297240239,103.900364560063,437251
Tao Nan School,"49 Marine Crescent, S449761",1.30261163483383,103.904983086812,449971
Teck Ghee Primary School,"1 Ang Mo Kio Street 32, S569299",1.36951942637994,103.848462230319,567751
Teck Whye Primary School,"11 Teck Whye Walk, S688261",1.38388660469396,103.753924558586,688261
