blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,flat_type_1 ROOM,flat_type_2 ROOM,flat_type_3 ROOM,flat_type_4 ROOM,flat_type_5 ROOM,flat_type_EXECUTIVE,flat_type_MULTI-GENERATION,address,latitude,longitude,postal_code,geohash
435B,FERNVALE RD,24,2011,SK,0,0,23,112,0,0,0,435B FERNVALE RD,1.39339364366596,103.876644854346,792435,w21zgv8tj72k
435B,NORTHSHORE DR,24,2024,PG,0,107,18,83,0,0,0,435B NORTHSHORE DR,1.41872191528327,103.910462015369,822435,w23bhd329kbm
435C,BT BATOK WEST AVE 5,15,2018,BB,0,0,0,82,56,0,0,435C BT BATOK WEST AVE 5,1.35830193962809,103.739753503555,653435,w21z8xkbxmyf
435C,FERNVALE RD,24,2011,SK,0,0,0,84,46,0,0,435C FERNVALE RD,1.39359978788204,103.876912987517,793435,w21zgv8y79b6
436,ANG MO KIO AVE 10,12,1978,AMK,0,0,0,110,0,0,0,436 ANG MO KIO AVE 10,1.36734158552808,103.854041064261,560436,w21zg2bjqdcy
436,CHOA CHU KANG AVE 4,15,1992,CCK,0,0,0,0,0,66,0,436 CHOA CHU KANG AVE 4,1.3845738801474,103.740368750567,680436,w21zbsj3tz38
436,FAJAR RD,12,1989,BP,0,0,0,70,40,0,0,436 FAJAR RD,1.38225913645163,103.770268856173,670436,w21zc7ehnxb8
436,HOUGANG AVE 8,13,1990,HG,0,0,0,72,12,0,0,436 HOUGANG AVE 8,1.37720977790324,103.89384563357,530436,w21zu4tny4d0
436,JURONG WEST AVE 1,12,1984,JW,0,0,0,16,82,0,0,436 JURONG WEST AVE 1,1.35208689545167,103.722864957524,640436,w21z8q0smzmb
436,TAMPINES ST 43,12,1985,TAP,0,0,66,44,0,0,0,436 TAMPINES ST 43,1.3595896657359,103.95159077743,520436,w21ztrx0ptuh
436,WOODLANDS ST 41,12,1985,WL,0,0,0,136,0,0,0,436 WOODLANDS ST 41,1.42661624805888,103.774872341652,730436,w23b17ww9u93
436,YISHUN AVE 11,12,2009,YS,0,0,0,0,0,0,0,436 YISHUN AVE 11,1.42137878090937,103.84610055242,760436,w23b54f2js0y
436A,BT BATOK WEST AVE 5,14,2018,BB,0,104,26,39,0,0,0,436A BT BATOK WEST AVE 5,1.35912883183507,103.739978327829,651436,w21z8xmjkxyr
436A,FERNVALE RD,25,2008,SK,0,0,48,86,0,0,0,436A FERNVALE RD,1.39283366745998,103.876517997854,791436,w21zgv89f71b
436A,NORTHSHORE DR,21,2024,PG,0,0,0,107,34,0,0,436A NORTHSHORE DR,1.41936107956269,103.910615214442,821436,w23bhd3kku46
436B,FERNVALE RD,21,2008,SK,0,0,20,100,0,0,0,436B FERNVALE RD,1.39287835979949,103.876975719617,792436,w21zgv8fhgr5
436B,NORTHSHORE DR,15,2024,PG,0,0,0,15,55,0,0,436B NORTHSHORE DR,1.42007232586288,103.910944825522,822436,w23bhd98s88m
436C,FERNVALE RD,25,2007,SK,0,0,48,96,0,0,0,436C FERNVALE RD,1.39231468377271,103.876970188022,793436,w21zgv2yuf6b
436D,FERNVALE RD,21,2007,SK,0,0,40,70,0,0,0,436D FERNVALE RD,1.3921787440658,103.876627568951,794436,w21zgv2whbgm
437,ANG MO KIO AVE 10,25,1978,AMK,0,0,0,0,96,0,0,437 ANG MO KIO AVE 10,1.36720027552413,103.853247443819,560437,w21zg0zss09g
437,CHOA CHU KANG AVE 4,15,1992,CCK,0,0,0,0,0,70,0,437 CHOA CHU KANG AVE 4,1.38410980069154,103.740645540511,680437,w21zbevxh0zb
437,FAJAR RD,14,1995,BP,0,0,0,56,39,0,0,437 FAJAR RD,1.38250957258766,103.769548068869,670437,w21zc7dttwrn
437,HOUGANG AVE 8,13,1990,HG,0,0,0,72,12,0,0,437 HOUGANG AVE 8,1.37720415098471,103.893277823347,530437,w21zu4sybc6y
437,JURONG WEST AVE 1,16,1984,JW,0,0,0,14,90,0,0,437 JURONG WEST AVE 1,1.35157134078567,103.723964571541,640437,w21z8q13rx1t
437,TAMPINES ST 43,12,1985,TAP,0,0,66,44,0,0,0,437 TAMPINES ST 43,1.35996624539325,103.951587758584,520437,w21ztrx4rs1f
437,WOODLANDS ST 41,12,1985,WL,0,0,0,114,0,0,0,437 WOODLANDS ST 41,1.42698226303345,103.774692737623,730437,w23b17y2v8g2
437,YISHUN AVE 6,12,1987,YS,0,0,0,132,0,0,0,437 YISHUN AVE 6,1.42168752611672,103.84756072452,760437,w23b54g3ztc8
437A,BT BATOK WEST AVE 5,14,2018,BB,0,0,0,78,52,0,0,437A BT BATOK WEST AVE 5,1.35817033364294,103.739219664469,651437,w21z8xhxgj29
437A,NORTHSHORE DR,19,2024,PG,0,0,0,54,57,0,0,437A NORTHSHORE DR,1.42000672442461,103.911262666217,821437,w23bhd9b5umq
437B,NORTHSHORE DR,26,2024,PG,0,0,0,99,84,0,0,437B NORTHSHORE DR,1.41956811748074,103.911575139246,822437,w23bhd6je4wm
438,ANG MO KIO AVE 10,12,1978,AMK,0,0,0,110,0,0,0,438 ANG MO KIO AVE 10,1.3669708169506,103.853906591778,560438,w21zg2b55mv6
438,CHOA CHU KANG AVE 4,12,1992,CCK,0,0,0,47,33,0,0,438 CHOA CHU KANG AVE 4,1.38427313008787,103.739864729553,680438,w21zbevpfp1w
438,FAJAR RD,12,1989,BP,0,0,0,48,40,0,0,438 FAJAR RD,1.38277661697844,103.770296650614,670438,w21zc7epr0jr
438,HOUGANG AVE 8,4,1989,HG,0,0,0,32,0,0,0,438 HOUGANG AVE 8,1.37804393558863,103.893152628592,530438,w21zu4uetyj2
438,JURONG WEST AVE 1,4,1983,JW,0,0,23,16,0,0,0,438 JURONG WEST AVE 1,1.35140999298197,103.723600768486,640438,w21z8q10x146
438,TAMPINES ST 43,12,1985,TAP,0,0,66,44,0,0,0,438 TAMPINES ST 43,1.360314073838,103.951590617952,520438,w21ztrxhrsgv
438,YISHUN AVE 11,12,2009,YS,0,66,0,0,0,0,0,438 YISHUN AVE 11,1.42167934851855,103.846089210389,760438,w23b54f3vk0r
438A,BT BATOK WEST AVE 8,15,2018,BB,0,98,0,84,0,0,0,438A BT BATOK WEST AVE 8,1.3574856237206,103.740845096872,651438,w21z8xjgbvst
438A,NORTHSHORE DR,24,2024,PG,0,207,34,0,0,0,0,438A NORTHSHORE DR,1.41918394220182,103.911550399131,821438,w23bhd656e5c
438A,SENGKANG WEST AVE,21,2009,SK,0,0,20,60,0,0,0,438A SENGKANG WEST AVE,1.39274604000734,103.877421746156,791438,w21zgv91r6et
438B,BT BATOK WEST AVE 8,15,2018,BB,0,112,28,42,0,0,0,438B BT BATOK WEST AVE 8,1.35788978585234,103.740481164284,652438,w21z8xjw23j2
438B,NORTHSHORE DR,24,2024,PG,0,227,46,0,0,0,0,438B NORTHSHORE DR,1.41870661642011,103.911441897734,822438,w23bhd60844f
438B,SENGKANG WEST AVE,25,2009,SK,0,0,24,72,0,0,0,438B SENGKANG WEST AVE,1.39274518333866,103.877720031685,792438,w21zgv93q6d0
438C,BT BATOK WEST AVE 8,14,2018,BB,0,104,26,39,0,0,0,438C BT BATOK WEST AVE 8,1.35775731757846,103.739408616622,653438,w21z8xhtx2m9
438C,NORTHSHORE DR,23,2024,PG,0,110,0,66,0,0,0,438C NORTHSHORE DR,1.41833971548809,103.91116113384,823438,w23bhd1y3t9t
439,ANG MO KIO AVE 10,25,1978,AMK,0,0,0,0,96,0,0,439 ANG MO KIO AVE 10,1.36629197864802,103.85349630883,560439,w21zg0xz1z79
439,CHOA CHU KANG AVE 4,14,1992,CCK,0,0,0,55,49,0,0,439 CHOA CHU KANG AVE 4,1.38372413417485,103.739787430026,680439,w21zbevhb2b5
439,FAJAR RD,12,1989,BP,0,0,0,48,40,0,0,439 FAJAR RD,1.38304567931228,103.770465303497,670439,w21zc7g2g47h
439,HOUGANG AVE 8,17,1990,HG,0,0,0,66,30,0,0,439 HOUGANG AVE 8,1.37859799173852,103.893427304657,530439,w21zu4uyum63
439,JURONG WEST AVE 1,4,1984,JW,0,0,8,8,0,0,0,439 JURONG WEST AVE 1,1.35149768659892,103.723243759123,640439,w21z8q0cnc2j
439,TAMPINES ST 43,4,1985,TAP,0,0,16,8,0,0,0,439 TAMPINES ST 43,1.36033535045203,103.951074250695,520439,w21ztrwue8fu
439,YISHUN AVE 11,12,1987,YS,0,0,0,132,0,0,0,439 YISHUN AVE 11,1.42199326349606,103.84614699943,760439,w23b54f7wwg8
439A,BT BATOK WEST AVE 8,15,2018,BB,0,98,0,84,0,0,0,439A BT BATOK WEST AVE 8,1.35682160436271,103.740330543468,651439,w21z8xj2hcvh
439A,SENGKANG WEST AVE,21,2009,SK,0,0,20,88,0,0,0,439A SENGKANG WEST AVE,1.39187523087505,103.877855405656,791439,w21zgv3s32r5
439B,BT BATOK WEST AVE 8,14,2018,BB,0,0,0,78,52,0,0,439B BT BATOK WEST AVE 8,1.35721494856744,103.739342992281,652439,w21z8xhdmghw
439B,SENGKANG WEST AVE,21,2009,SK,0,0,40,80,0,0,0,439B SENGKANG WEST AVE,1.39197653860922,103.878309805797,792439,w21zgv3uu51z
439C,BT BATOK WEST AVE 8,14,2018,BB,0,0,0,78,52,0,0,439C BT BATOK WEST AVE 8,1.35762861295926,103.738857524407,653439,w21z8xhkf86d
439C,SENGKANG WEST AVE,25,2009,SK,0,0,24,72,0,0,0,439C SENGKANG WEST AVE,1.39221691150855,103.878650536649,793439,w21zgv6n7bpc
44,BEDOK STH RD,16,1977,BD,0,0,0,120,0,0,0,44 BEDOK STH RD,1.3211155478057,103.941675526083,460044,w21zt28009f9
44,BENDEMEER RD,12,1970,KWN,0,0,225,3,0,0,0,44 BENDEMEER RD,1.32226013692281,103.86662310263,330044,w21ze89qexps
44,BEO CRES,10,1964,BM,0,0,0,0,0,0,0,44 BEO CRES,1.2888091628641,103.82629508593,160044,w21z6ds5b52y
44,CHAI CHEE ST,14,1979,BD,0,0,175,26,2,1,0,44 CHAI CHEE ST,1.32901430131171,103.925667777871,461044,w21zscuq5d4x
44,CIRCUIT RD,10,1964,GL,0,28,82,5,0,0,0,44 CIRCUIT RD,1.32665458025622,103.886118963317,370044,w21zecx8642f
44,JLN BAHAGIA,2,1959,KWN,0,0,4,0,0,0,0,44 JLN BAHAGIA,1.32740937893968,103.85723115625,320044,w21ze3ds8zh3
44,LENGKOK BAHRU,4,1983,BM,0,0,0,0,16,0,0,44 LENGKOK BAHRU,1.28685098221519,103.811712481804,150044,w21z6632knrm
44,LOR 5 TOA PAYOH,11,1992,TP,0,0,0,0,80,0,0,44 LOR 5 TOA PAYOH,1.33623149606503,103.854043122839,310044,w21ze720nee7
44,MARINE CRES,25,1975,MP,0,0,0,0,96,0,0,44 MARINE CRES,1.30473348573354,103.913087962182,440044,w21zkte0w7yq
44,MOH GUAN TER,4,1949,BM,0,8,8,0,0,0,0,44 MOH GUAN TER,1.28442020673303,103.831056918196,161044,w21z69z6qcr8
44,OWEN RD,8,1978,KWN,0,0,74,13,0,0,0,44 OWEN RD,1.31551162976199,103.850377879064,210044,w21z7pmx3jnk
44,SIMS DR,16,1974,GL,0,0,0,240,0,0,0,44 SIMS DR,1.31623521060435,103.876881159027,380044,w21z7z8gdu08
44,STIRLING RD,2,1963,QT,0,0,0,4,0,0,0,44 STIRLING RD,1.29779166270107,103.80265786421,141044,w21z6h6b1jzs
44,TANGLIN HALT RD,10,1962,QT,0,0,0,0,0,0,0,44 TANGLIN HALT RD,1.29895181002755,103.79854165188,142044,w21z3urycq4m
44,TEBAN GDNS RD,12,1985,JE,0,0,66,44,0,0,0,44 TEBAN GDNS RD,1.32075391757793,103.741600208874,600044,w21z88qmfqru
44,TELOK BLANGAH DR,9,1975,BM,0,0,234,0,3,0,0,44 TELOK BLANGAH DR,1.27140883340015,103.810887524155,100044,w21z4r2y3pb1
440,ANG MO KIO AVE 10,12,1978,AMK,0,0,130,22,0,1,0,440 ANG MO KIO AVE 10,1.36642789831215,103.854311491141,560440,w21zg2b2hbe7
440,CHOA CHU KANG AVE 4,12,1991,CCK,0,0,0,61,31,0,0,440 CHOA CHU KANG AVE 4,1.38345332138043,103.739367787801,680440,w21zbeuenqrh
440,FAJAR RD,17,1995,BP,0,0,0,28,48,0,0,440 FAJAR RD,1.38368429456113,103.770076985518,670440,w21zc7ghd13w
440,HOUGANG AVE 8,19,1990,HG,0,0,0,52,34,0,0,440 HOUGANG AVE 8,1.37913196653041,103.893530769461,530440,w21zu5hfn8z6
440,JURONG WEST AVE 1,8,1984,JW,0,0,65,51,0,1,0,440 JURONG WEST AVE 1,1.35131146892729,103.722836259059,640440,w21z8mbxvq8q
440,PASIR RIS DR 4,10,1989,PRC,0,0,0,52,9,0,0,440 PASIR RIS DR 4,1.36900809318444,103.958696603631,510440,w21zv9hrj1we
440,TAMPINES ST 43,12,1985,TAP,0,0,0,48,40,0,0,440 TAMPINES ST 43,1.36081570799381,103.951611550107,520440,w21ztrxr247t
440,YISHUN AVE 11,12,1987,YS,0,0,0,132,0,0,0,440 YISHUN AVE 11,1.42233139600502,103.84613305852,760440,w23b54fmwmc1
440A,BT BATOK WEST AVE 8,16,2017,BB,0,120,45,0,0,0,0,440A BT BATOK WEST AVE 8,1.35522654404615,103.738772439227,651440,w21z8wsqb8e1
440A,CLEMENTI AVE 3,30,2017,CL,0,54,102,52,0,0,0,440A CLEMENTI AVE 3,1.31599867398385,103.764197624976,121440,w21z3pwf1pct
